"","School","Conf","W","L","PPG","PPG_Allowed","Pace","MOV","SOS","OSRS","DSRS","Adj_ORtg","Adj_DRtg","year"
"217","Gardner-Webb","Big South",17,16,73.5,73.2,70.2,0.36,-1.73,-1.77,-2.89,99.67,105.77,2024
"218","Air Force","MWC",9,22,66.2,72.4,63.4,-6.19,1.43,-6.63,1.86,104.7,113.09,2024
"219","Cal State Northridge","Big West",19,15,75,73.6,73.5,1.41,-4.13,0.08,-4.87,97.56,104.39,2024
"220","Bowling Green","MAC",20,14,73.6,71,69.1,2.59,-5.52,-2.56,-2.37,99.85,107.13,2024
"221","Milwaukee","Horizon",20,15,79.5,78.7,70.9,0.83,-4.47,3.95,-8.97,105.19,112.52,2024
"222","Stetson","A-Sun",22,13,76.8,73.3,67.5,3.46,-3.24,-0.77,-4.31,107.27,114.59,2024
"223","Cal State Fullerton","Big West",14,18,67.9,69.1,67.5,-1.25,-1.15,-6.38,1.23,98.55,105.51,2024
"224","Iona","MAAC",16,17,71.3,70.6,68,0.76,-5.95,-3.76,-1.43,101.49,108.61,2024
"225","Merrimack","NEC",21,12,69.2,65.4,68.6,3.76,-8.43,-7.97,2.74,94.35,101.75,2024
"226","UTSA","AAC",11,21,77.6,81,71.3,-3.38,-0.71,4.6,-9.86,105.23,112.41,2024
"227","San Diego","WCC",18,15,72.5,77.3,72,-4.79,0.33,-0.51,-4.81,99.92,106.44,2024
"228","Kansas City","Summit",16,16,71.9,69.3,67.3,2.59,-4.5,-4.81,-0.51,98.51,106.02,2024
"229","Montana State","Big Sky",17,18,75.3,74.5,69.7,0.83,-4.46,-1.15,-4.18,101.63,108.95,2024
"230","Cal State Bakersfield","Big West",13,19,68.7,69.2,66.3,-0.47,-2.17,-6.61,1.24,99.16,107.31,2024
"231","Eastern Kentucky","A-Sun",17,14,80.8,76.5,71.8,4.29,-4.49,-0.2,-5.22,103.57,110.6,2024
"232","Marshall","Sun Belt",13,20,73.8,76.7,72.5,-2.91,-1.39,-1.79,-3.63,98.76,105.84,2024
"233","Columbia","Ivy",13,14,77,72.4,70,4.52,-3.72,-0.43,-5,103.87,111.07,2024
"234","Lamar","Southland",19,14,77.8,72.9,70.5,4.91,-8.28,-0.99,-4.48,102.43,109.48,2024
"235","Tennessee-Martin","OVC",21,11,81.5,76.7,74.5,4.81,-7.25,4.89,-10.45,103.05,111.17,2024
"236","Green Bay","Horizon",18,14,69,69,64.6,0.06,-4.07,-7.14,1.5,101.18,109.31,2024
